Brand Name,Generic Name,Manufactor Name,Total Spending 2016,Total Units 2016,Total Spending 2017,Total Units 2017,Total Spending 2018,Total Units 2018,Total Spending 2019,Total Units 2019,Total Spending 2020,Total Units 2020
Abiraterone Acetate,Abiraterone Acetate,West-Ward/Hikma,,,,,1127427.3,29604,15366088.51,871312,3903999.61,1489945
Abiraterone Acetate,Abiraterone Acetate,Teva USA,,,,,1843951.75,27914,11777466.4,236279,3613882.86,96508
Abiraterone Acetate,Abiraterone Acetate,Novadoz Pharmac,,,,,,,20635781.2,564258,182376285.6,6169405
Abiraterone Acetate,Abiraterone Acetate,Rising Pharm,,,,,,,,,52080902.12,1508851
Abiraterone Acetate,Abiraterone Acetate,Apotex Corp,,,,,10934145.94,171807,114778256.6,2218449,71640280.53,1992035
Abiraterone Acetate,Abiraterone Acetate,Patriot Pharmac,,,,,8067619.77,125781,231496652.4,5053365.999,98574761.07,2983608.997
Abraxane,Paclitaxel Protein-Bound,Celgene/BMS,5472304.71,4765.6,4693801.6,3783,5675297.99,4441,8803136.55,6318,9792937.31,6620
Absorica,Isotretinoin,Sun Pharmaceuti,273335.55,8820,379410.66,11460,317230.79,8970,256597.51,6840,235353.71,6180
Absorica Ld,"Isotretinoin, Micronized",Sun Pharmaceuti,,,,,,,,,25585.7,690
Acamprosate Calcium,Acamprosate Calcium,Mylan Instituti,55273.44,58576,30122.24,29292,24986.05,29079,6333.89,7099,9079.68,9727
Acamprosate Calcium,Acamprosate Calcium,AHP,6974.19,6932,4933.66,4507,3358.03,2860,2461.5,2537,3366.34,3121
Acamprosate Calcium,Acamprosate Calcium,Mylan,938715.72,1057481,1019547.92,1071936,523392.12,573142,150985.65,169386,787116.88,906051
Acamprosate Calcium,Acamprosate Calcium,Teva USA,535556.85,545121,573793.92,581780,105642.26,111579,71329.76,74028,32870.94,32444
Acamprosate Calcium,Acamprosate Calcium,Marlex Pharm.,,,,,5338.07,4643,6121.51,6614,4808.02,4686
Acamprosate Calcium,Acamprosate Calcium,Zydus Pharmaceu,,,437304.38,437387,1592019.25,1673011,2161886.42,2064910,1727652.52,1638918
Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma,3105472.28,3302074,3124511.22,3091660.01,3043129.45,3171030,3741077.17,3796463,3920114.18,4086170
Acanya,Clindamycin Phos/Benzoyl Perox,Valeant/Bausch,293488.75,33180,255946.1,26640,146741.77,13850,60935.72,5750,33711.89,3150
Acarbose,Acarbose,Strides Pharma,1412045.24,3606788,2018832.65,5597846.48,2436933.51,6912154.5,4201059.18,12321669.5,3798277.52,10349363.5
Acarbose,Acarbose,Avkare,647.48,1170,1684.21,3060,2636.17,5400,812.84,1320,770.79,1980
Acarbose,Acarbose,Alvogen Inc,1317934.32,3015622.5,1785152.5,4273510.94,1790391.82,4538894.5,970158.14,2334412.5,134447.03,362952
Acarbose,Acarbose,Roxane/West-War,2116870.66,5178436,555464.85,1418565.5,307877.52,897667,2166182.96,6379462,4384018.53,11404856.49
Acarbose,Acarbose,Heritage Pharma,349708.26,759142.5,51904.91,130388,31585.49,86983,27769.95,75627,13748.64,34289
Acarbose,Acarbose,Virtus Pharmace,3422194.93,8969917,5127858.23,14288065.5,5005722.25,14225421.5,2387051.97,6757172.5,2526822.01,6822731
Accolate,Zafirlukast,Par Pharmaceuti,438430.04,119582,374889.01,100896,335122.21,89645,267173.42,70926,241732.21,64927
Accupril,Quinapril HCl,Pfizer US Pharm,2142107.96,631945,2577686.04,633391,2823256.85,609380,2657878.87,575596,2298518.54,500787
Accuretic,Quinapril/Hydrochlorothiazide,Pfizer US Pharm,282084.23,86664,328466.3,84291,354071.71,80439,311595.63,70847,256406.1,59908
Acebutolol HCl,Acebutolol HCl,Mylan,1567344.24,4678275,1414077.33,4639628,1408115.98,4295127,245018.67,591658,170579.49,288879
Acebutolol HCl,Acebutolol HCl,Amneal Pharmace,2132602.65,6124473.7,1967331.93,5935445,2080537.14,6049825,4383488.55,9364612,5554361.14,9724712
Acebutolol HCl,Acebutolol HCl,Avpak,531.82,940,536.41,1340,,,1917.84,7850,1120.12,2313
Acebutolol HCl,Acebutolol HCl,Marlex Pharm.,,,,,913.47,2760,2669.35,6658,1765.9,2850
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Atland Pharmace,,,,,,,,,15100.6,895
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Xspire Pharma,326990.99,136010,514160.74,215347,507947.64,203714,581219.08,221226,562256.15,203536
Acetaminophen-Codeine,Acetaminophen With Codeine,Mallinckrodt Ph,9985422.52,34629720,13815654.92,59790655.99,15574389.35,70159499,17256601.8,77841425.4,22732317.68,89972870
Acetaminophen-Codeine,Acetaminophen With Codeine,Morton Grove Ph,55216.42,2308193.87,37190.04,1615380.168,28083.4,1249306.604,21909.25,934250.94,7270.21,266446
Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm,2545443.02,8700029,5218631.41,22312481.5,7076700.58,31965612,8184569.66,33710175,9482246.84,32047733
Acetaminophen-Codeine,Acetaminophen With Codeine,Pharmaceutical,68862.49,2391417.895,60919.04,2143283.645,55356.05,2085259.577,45324.73,1780632.244,46508.96,1703867.592
Acetaminophen-Codeine,Acetaminophen With Codeine,Eywa Pharma Inc,,,,,,,19972.21,101487,1246576.17,6488988
Acetaminophen-Codeine,Acetaminophen With Codeine,Mylan Instituti,3941.12,11265,6531.29,16761,6492.29,18013,2639.11,6290,2182.9,4913
Acetaminophen-Codeine,Acetaminophen With Codeine,Ranbaxy Pharmac,2221.79,7050,1401.46,4871,1428.87,4526,245.99,886,843.18,2715
Acetaminophen-Codeine,Acetaminophen With Codeine,Qualitest/Par P,5093700.27,18173062,634185.97,2720442,1270749.02,5618034,1908193.35,7623196,1289595.54,4902448
Acetaminophen-Codeine,Acetaminophen With Codeine,Amneal Pharmace,10531437.17,49943485.5,7137015.05,40945429,6794065.87,32731571.5,3590713.73,17035577,1297315.46,4978281
Acetaminophen-Codeine,Acetaminophen With Codeine,Teva USA,20305513.47,88819091.8,13517861.08,66600371,7238730.21,35395817.97,4115440.23,19021116,1892066.79,7661236.5
Acetaminophen-Codeine,Acetaminophen With Codeine,AHP,20551.04,56914.05,9480.26,32870.85,3670.49,14921,2191.04,6671,965.57,2892
Acetaminophen-Codeine,Acetaminophen With Codeine,Hi-Tech/Akorn C,207994.1,8399673.47,197221.29,8076500.375,170114.39,6544761.246,127172.31,5086526.314,110596.95,4400883.834
Acetazolamide,Acetazolamide,Marlex Pharm.,2797.64,1321,5197.48,1936,1860.29,812,768.52,412,1444.38,979
Acetazolamide,Acetazolamide,Lannett Co. Inc,11923624.49,6570603.25,12241394.95,6542148,6754653.43,3845924.357,5107084.73,2949002,4411455.68,3034477
Acetazolamide,Acetazolamide,Novitium Pharma,,,,,,,,,295326.62,248575
Acetazolamide,Acetazolamide,Strides Pharma,,,,,1824542.64,1150653.5,4609348.39,3078088.5,4521544.65,3102218.5
Acetazolamide,Acetazolamide,Eywa Pharma Inc,,,,,,,,,387983.35,208885
Acetazolamide,Acetazolamide,Breckenridge,,,,,,,,,11364.73,8626
Acetazolamide,Acetazolamide,AHP,51669.23,22050.5,29383.79,12578,6569.86,3277,8149.46,3515,5762.57,4302
Acetazolamide,Acetazolamide,Heritage Pharma,,,1807472.15,1020629.5,5917901.72,3470475.5,4646102.85,2816894.25,4973387.97,3145643
Acetazolamide,Acetazolamide,Taro Pharm USA,13934183.29,7459125.963,12491621.23,6669081.201,10673310.8,6410401.733,9680020.96,6245983.5,7573661.59,5000817.5
Acetazolamide,Acetazolamide,Major Pharmaceu,,,,,,,8557.12,3790,18077.84,9435
Acetazolamide ER,Acetazolamide,Zydus Pharmaceu,3518982.42,1515582,4409153.3,1868322,3473330.98,1680134.232,775713.6,401395,412605.84,223956
Acetazolamide ER,Acetazolamide,AHP,52715.06,19618,33293.12,12069,5974.87,2978,5211.06,2392,1016.95,547
Acetazolamide ER,Acetazolamide,Ingenus Pharmac,,,21538.01,8860,1874188.51,948289,2851043.5,1582804,3907170.19,2471865.286
Acetazolamide ER,Acetazolamide,Heritage Pharma,5739083.88,2429680,5370080.77,2311529,3587559.57,1818343,4180410.02,2335985,2407328.07,1436281
Acetazolamide ER,Acetazolamide,Alembic Pharmac,,,,,,,,,1469.05,697
Acetazolamide ER,Acetazolamide,Nostrum Laborat,9054.48,3839,525283.06,233225,438464.49,253159,1158141.13,692312,1804322.51,1133871
Acetazolamide Sodium,Acetazolamide Sodium,X-Gen/Novaplus,,,,,,,,,9059.2,276
Acetazolamide Sodium,Acetazolamide Sodium,West-Ward/Hikma,,,,,,,2911.16,230,8373.23,584
Acetic Acid*,Acetic Acid,Rising Pharm,,,,,,,58233.73,35861,5456.87,3026
Acetic Acid*,Acetic Acid,Morton Grove Ph,314772.78,191018,465849.07,291601,553127.97,338714,261528.83,158728.2,256528.37,152149
Acetic Acid*,Acetic Acid,Baxter Healthca,106925.02,14390315.33,118817.33,16979912.66,144508.04,19840913,131401.76,17274508.67,113042.7,14678600
Acetic Acid*,Acetic Acid,Hospira/Icu Med,318998.3,21873497.33,346219.7,24311383,284434.66,20083564.67,329339,22367798,167819.41,11152145
Acetic Acid*,Acetic Acid,B.Braun,22439.6,3912396,25457.62,5093636,43188.85,8378572.5,53852.22,9429484,87018.7,12791450
Acetic Acid*,Acetic Acid,Hi-Tech/Akorn C,197321.55,121197,421729.04,266490.5,480431.98,294078,549939.65,340907.6,556408.95,336360
Acetic Acid*,Acetic Acid,"Trupharma, LLC.",,,,,,,,,79658.7,44720
Acetylcysteine*,Acetylcysteine,Sagent Pharmace,,,,,,,9337.96,2310,11082.2,2820
Acetylcysteine*,Acetylcysteine,Perrigo Co.,200628.2,40108,263422.6,54245,402533.84,81016.5,153754.04,33642,165831.72,38921
Acetylcysteine*,Acetylcysteine,Hospira/Pfizer,344282.26,913506,277121.69,740726.47,356230.36,975593,452412.58,1240980,322745.03,858801.78
Acetylcysteine*,Acetylcysteine,Auromedics Phar,,,15583.59,2454,48903.26,7557,24495.12,4602,20379.86,4494
Acetylcysteine*,Acetylcysteine,App/Fresenius K,734263.48,912150.5,1012346.95,1051778,502478.88,507152,638408.77,681198.75,578066.08,623431.5
Acetylcysteine*,Acetylcysteine,Amer. Regent,412138.85,323618,760411.52,419616.99,730470.03,413993.5,671811.82,399407.25,621902.12,386305
Acetylcysteine*,Acetylcysteine,Fresenius Kabi*,32880.26,6011,28078.29,6317,51600.21,9675,31442.39,7468,26718.76,41616
Aciphex,Rabeprazole Sodium,Eisai Inc.,27852958.88,1799024,25305061.08,1495019,22178234.16,1299928,19678260.33,1153216,18095334.51,1065105
Acitretin,Acitretin,Mylan,4158604.99,213430,5325435.09,268998,6806742.23,397766,6689589.8,466897,6629055.32,471372
Acitretin,Acitretin,Teva USA,11112626.41,539762,6662185.27,318613,4598592.73,261833,4265304.76,255481,1508230.98,92870
Acitretin,Acitretin,Avkare,,,10672.92,582,583832.34,35220,657387.56,46026,567093.51,42786
Acitretin,Acitretin,Prasco Labs,5118086.97,249655,3893531.83,189639,2885523.35,166575,676158.76,43780,576828.64,39192
Acitretin,Acitretin,Amneal Pharmace,,,1191125.23,59279,3763655.63,224645,5283061.92,358814,5394313.03,391357
Acitretin,Acitretin,Sigmapharm Labo,5180498.4,248003,8309235.05,441783,6332716.47,411298,6034527.99,429709.43,8898288.13,640586.519
Actemra Actpen,Tocilizumab,"Genentech, Inc.",,,,,,,17195137.67,14862.3,56276920.52,47067.5
Actemra*,Tocilizumab,"Genentech, Inc.*",61489156.8,137157.2,86368360.18,151287.1,130523440.2,185715.59,132676233.6,198566.9,127856836.2,191010.1
Acthar,Corticotropin,Mallinckrodt Ph,636174839.7,91690,680601944.7,92590,724638118.9,90830,668892380.3,82995,621884161.4,74430
Acthib,Haemoph B Poly Conj-Tet Tox/PF,Sanofi-Pasteur,11731.27,276.5,13600.64,425,27574.35,815.9,44034.23,1129,44405.72,1147.6
Actigall,Ursodiol,Allergan Inc.,,,,,,,382136.46,40978,691051.83,74278
Actimmune,"Interferon Gamma-1b,Recomb.",Horizon Therape,,,,,18992801.81,2118,20879139.7,2226.5,23353184.89,2547
Actiq,Fentanyl Citrate,Teva USA,2808034.3,23430,2198170.86,17102,1327670.59,9625,1185811.16,9300,534557.37,4110
Activella,Estradiol/Norethindrone Acet,Amneal Pharmace,,,,,,,124105.3,12712,135010.77,13692
Actonel,Risedronate Sodium,Actavis/Allerga,8749902.02,112625.5,4832386.05,55641,3671232.33,36899,2907325.96,27665,2358868.74,20947
Actoplus Met,Pioglitazone HCl/Metformin HCl,Takeda Pharmace,734156.55,84067,609761.63,64831,461467.05,47787,374075.5,38502,312105.56,32169
Actos,Pioglitazone HCl,Takeda Pharmace,3850687.67,240651,3428174.99,195724,2784260.16,159372,2293887.44,132352,2092475.64,120551
Acular,Ketorolac Tromethamine,Allergan Inc.,107631.23,2775,104264.23,2805,89458.99,2401,73030.12,1865,92184.89,2245
Acular Ls,Ketorolac Tromethamine,Allergan Inc.,91009.22,2131,62510.71,1300,55760.95,1170,42093.7,895,36788.28,750
Acuvail,Ketorolac Tromethamine/PF,Allergan Inc.,481254.14,56785,349931.47,38222,350759.69,34304,292214.13,27503,215551.35,20437
Acyclovir Sodium,Acyclovir Sodium,Auromedics Phar,42418.58,83751.91,43696.84,89669.77,52842.31,59395.5,28476.29,43925.9,28833.1,41714.76
Acyclovir Sodium,Acyclovir Sodium,Fresenius Kabi,50371.52,100771.24,24034.6,38861.2,23840.99,33018,38671.52,40915.9,27570.47,53631
Acyclovir*,Acyclovir,Yiling Pharmace,,,,,1149.68,5405,196971.43,827479.2,139640.95,609627.5
Acyclovir*,Acyclovir,Mckesson Packag,1595.53,8193,1664.61,7923,912.4,4168,3421.5,20530,1289.67,4783
Acyclovir*,Acyclovir,Alembic Pharmac,,,,,,,484153.27,64225.009,527348.11,100001
Acyclovir*,Acyclovir,Quinn Pharmaceu,195716.86,1167174,320475.94,2426612,58205.18,411670,73775.92,574167,153206.62,961732
Acyclovir*,Acyclovir,Zydus Pharmaceu*,1044579.69,4769424,4168844.79,21168836.05,5475802.66,25327729.76,5652304.23,24170828.57,5643783.98,21749759.31
Acyclovir*,Acyclovir,Viona Pharmaceu,,,,,,,,,72626.91,16260
Acyclovir*,Acyclovir,Teva USA*,6384740.07,30255886.08,2851722.32,13736685.5,1564700.76,7561335,955111.66,1561162.041,4274486,89313
Acyclovir*,Acyclovir,Taro Pharm USA,,,3277839.17,255038,4035793.41,388028,1627576.61,217906,600896.2,135526
Acyclovir*,Acyclovir,AHP,3081.1,10754,4844.2,23424,1022.57,4734,1461.11,4491,984.1,1564
Acyclovir*,Acyclovir,Ranbaxy/Sun Pha,27442.78,99522.001,12135.1,45066,9800.88,33869.2,9584.36,31395.2,6892.89,22183
Acyclovir*,Acyclovir,Tolmar Inc.,,,109556.4,14000,1003602.72,150570,842022.84,182488,556643.98,143297.4
Acyclovir*,Acyclovir,Camber Pharmace,6483928.17,27051642.1,6343743.28,28116698.5,7971893.18,33621632.5,10259726.02,41893968.4,10957503.37,42611804.49
Acyclovir*,Acyclovir,Mylan*,18290768.56,1252139.5,8439431.09,646079.5,3689507.33,391691,2641095.87,961214,1502522.03,817663
Acyclovir*,Acyclovir,Mylan Instituti,398972.29,25445,331209.55,23562,253668.52,22520,151565.28,18300,87427.33,14620
Acyclovir*,Acyclovir,Northstar Rx Ll,,,128999.82,10275,1365475.78,124278,959925.23,110796,977523.9,180598
Acyclovir*,Acyclovir,Hi-Tech/Akorn C,510891.26,824776.896,436496.19,722486.3,73310.28,128071,123164.11,248998.5,288267.91,538968.5
Acyclovir*,Acyclovir,Torrent Pharmac,,,,,,,461499.91,60439,907569.32,165531
Acyclovir*,Acyclovir,Fougera/Sandoz,,,1980316.48,148890,680806.08,60851,155415.78,15665,45123.67,7909
Acyclovir*,Acyclovir,"Gsms, Inc.",1335.62,6664,1262.92,6906,1927.06,10837,945.31,4053,1389.77,7215
Acyclovir*,Acyclovir,Bionpharma Inc.,,,,,,,,,27378.92,113602
Acyclovir*,Acyclovir,Amneal Pharmace,15136546.12,1003852.925,9316372.67,707343,6978230.03,673472,4248605.21,542009.6,2497088.01,465482.44
Acyclovir*,Acyclovir,Avpak,1509.64,3991,1186.66,3470,401.44,1207,174.57,766,276.55,719
Acyclovir*,Acyclovir,"Xiromed, LLC",,,,,,,,,574245.6,118435
Acyclovir*,Acyclovir,Actavis/Teva*,9130469.73,1589702.199,5060972.46,1495118.697,2786156.92,1818172.112,2023923.86,1791467.664,1343661.63,1621712.744
Acyclovir*,Acyclovir,Apotex Corp,5000651.63,25420414.6,2907096.46,17095350.67,1645130.56,8887826.1,1751777.83,9375379,3655149.8,16914215
Acyclovir*,Acyclovir,Nivagen Pharmac,,,16345.58,130009,508964.79,4345323,631038.38,6044245,538340.08,5213487
Acyclovir*,Acyclovir,Major Pharmaceu,9956.11,49249,17925.81,101235,8647.93,35930,11144.19,49899,8500.36,40579
Acyclovir*,Acyclovir,Ranbaxy Pharmac,41709.61,203976.5,14429.49,68749.5,10323.46,49418,9457.51,39943,7754.16,38233
Acyclovir*,Acyclovir,Carlsbad Tech,1524853.39,5459884,4604248.19,21934844.8,5964455.69,28986983.36,5307203.67,26609441,5133526.54,23980245.01
Acyclovir*,Acyclovir,Novitium Pharma,,,,,,,,,114175.21,222957
Acyclovir*,Acyclovir,Glenmark Pharma,,,37266.98,3300,1728763.62,175225,5961006.74,746965,1834285.05,347289
Acyclovir*,Acyclovir,Perrigo Co.,,,,,,,9699617.09,72149,10204601.16,79212
Acyclovir*,Acyclovir,Heritage Pharma,1840485.03,7294716.7,984475.39,4137326,1519370.58,8296846.5,2815790.06,13583351.5,5615786.92,21807811
Acyclovir*,Acyclovir,Cosette Pharmac,,,,,566971.23,52681,637884.87,74575,165634.37,34995
Aczone,Dapsone,Allerg/Almirall,1695356.89,217470,2084850.31,241140,1334285.05,141030,1121812.94,110730,298373.74,28500
Aczone,Dapsone,"Almirall, LLC",,,,,,,,,136577.25,12060
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",Sanofi-Pasteur,10029769.32,106863.481,9988685.14,109519.346,10979499.3,136138.246,11033494.81,119121.61,10274095.02,125262.552
Adakveo,Crizanlizumab-Tmca,Novartis,,,,,,,,,5098450.99,20688
Adapalene,Adapalene,Perrigo Co.,362121.12,99205,302120.81,77385,300001.98,74940,410999.82,101815,296572.74,72900
Adapalene,Adapalene,Glenmark Pharma,243526.75,91321,264870.87,111495,236424.91,107747,491650.7,250850,619440.55,334621
Adapalene,Adapalene,Prugen Pharmace,,,1623.93,675,,,,,1109.61,585
Adapalene,Adapalene,Actavis/Teva,75375.53,17865,94261.18,22905,102734.45,27990,99628.64,32025,87826.55,30555
Adapalene,Adapalene,Taro Pharm USA,93620.14,37505,29827.91,10185,135832.87,38432,119043.3,39600,135120.3,50130
Adapalene,Adapalene,Sandoz,77652.49,18405,73729.83,17506,76724.39,20160,80272.09,24030,72137.07,22365
Adapalene,Adapalene,Rochester Pharm,,,,,,,111341.08,1414,354290.15,4578
Adapalene,Adapalene,Prasco Labs,137196.66,34936,140105.9,34545,86066.2,21780,97298.28,27450,108329.63,31168
Adapalene,Adapalene,Fougera/Sandoz,290884.35,79680,354228.05,90090,284295.4,73245,167348.8,39060,247694.91,59355
Adapalene,Adapalene,Alembic Pharmac,,,,,,,,,4036.13,1260
Adapalene,Adapalene,Teva USA,209216.86,82830,282872.67,121575,322171.2,144270,203611.93,105980,127074.36,70651.35
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Actavis/Teva,,,33240.25,5040,29914.12,5340,3988.84,1620,2078.06,585
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Prasco Labs,,,35366.7,5130,79075.98,14175,30696.95,9945,24597.72,8850
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Sandoz,,,,,,,6943.55,4185,3688.88,2685
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Taro Pharm USA,,,,,29816.87,5850,55535.44,25785,54143.96,34200
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Perrigo Co.,,,,,14780.1,7245,33996.53,16560,24218.64,14355
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,Glenmark Pharma,,,,,,,,,19491.46,6960
Adcetris,Brentuximab Vedotin,Seattle Genetic,,,,,,,,,1207675.99,140
Adcirca,Tadalafil,Eli Lilly & Co.,275975645.5,5468516.1,322356155.2,5321699.7,266213540.1,3897887.5,82750004.24,1182511,55942543.48,799333
Adderall,Dextroamphetamine/Amphetamine,Teva USA,2655773.8,496869,3147667.74,534585,3853888.75,607546,4750438.52,676194,5298565.5,706339
Adderall XR,Dextroamphetamine/Amphetamine,Shire US Inc.,8987085.13,1681221,7763038.82,1551403,8032117.17,1676353,9206505.22,1875994,9699463.14,1948540
Adefovir Dipivoxil,Adefovir Dipivoxil,Apotex Corp,,,,,188995.56,6726,2073053.32,75053,1556218.21,60661
Adefovir Dipivoxil,Adefovir Dipivoxil,Sigmapharm Labo,6185377.12,232352,5855685.69,207698,5136466.95,182795,2683391.61,95388,2506290.05,93909
Adempas,Riociguat,"Bayer,Pharm Div",184377247.7,1851917,240915174.6,2267129,256166028.2,2292012,316869356.5,2679851,463152406.4,3661887.996
Adlyxin,Lixisenatide,Sanofi-Aventis,,,24669.45,270,63298.03,636,60595.43,573,66455.6,606
Admelog,Insulin Lispro,Sanofi-Aventis,,,,,403661.76,17019,2076727.3,120033.714,2461450.03,181351
Admelog Solostar,Insulin Lispro,Sanofi-Aventis,,,,,1124957.97,36927,5632924.42,1248401.999,5785747.56,339259
Adrenalin,Epinephrine,Par Pharmaceuti,3072.26,1018,8113.79,1403,21787.27,7243.4,13254.02,5026,16833.39,1175
Adriamycin,Doxorubicin HCl,West-Ward/Hikma,,,,,,,1667.28,1180,8360.93,1977
Adrucil,Fluorouracil,Teva Parenteral,4998.21,85344.3,1183.78,2939.16,2555.37,4770.92,1584.77,3305.28,1143.25,1120
Advair Diskus,Fluticasone Propion/Salmeterol,Glaxosmithkline,2319872235,401066600.2,2373802297,381676276.4,2393807457,356738339.2,1449199813,226583917.6,1160474903,184579142
Advair HFA,Fluticasone Propion/Salmeterol,Glaxosmithkline,191520349.8,6190649.6,227793799.8,6775146.8,260074489.9,7030447.1,276664860.4,7459082.8,313758155,8477972
Advocate Pen Needle,"Pen Needle, Diabetic",Diabetic Supply,,,11333.12,20890,99685.13,178610,176740.05,297000,232112.86,360426
Advocate Pen Needles,"Pen Needle, Diabetic",Diabetic Supply,370531.37,854739,753553.94,1624509,1480139.85,3118960,1659681.1,3066628.666,2270106.92,3675993
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",Diabetic Supply,58159.52,128184,49487.25,99446,75711.5,152813,101128.01,190445,147149.62,220340
Advocate Syringes,"Syringe And Needle,Insulin,1ml",Diabetic Supply,142271.9,308281,165632.24,345647,304063.64,644564,271580.82,525813,359573.74,538377
Advocate Syringes,"Syringe-Needle,Insulin,0.5 Ml",Diabetic Supply,137847.29,303950,155444.32,319674,244656.42,510744,299378.29,576406,373103.59,570425
Adzenys XR-ODT,Amphetamine,Neos Therapeuti,38792.72,4294,188108.25,19082,326765.14,30393,441111.93,37843,490522.7,37955
